X_int_1	Y_int_1	Cond.1[mS/m]	Inph.1[ppt]	X_int_2	Y_int_2	Cond.2[mS/m]	Inph.2[ppt]	X_int_3	Y_int_3	Cond.3[mS/m]	Inph.3[ppt]	Num fich	b et p	Base	Profil
397569.1018	5315706.5571	10.18	-0.02	397568.919	5315706.4893	16.48	-0.15	397568.6987	5315706.4075	21.85	-0.15	1	2	0	1
397570.0681	5315706.8832	10.17	-0.04	397569.8825	5315706.8238	16.59	-0.16	397569.659	5315706.7522	21.23	-0.13	1	2	0	1
397570.5019	5315706.9683	9.34	-0.09	397570.3137	5315706.9173	16.71	-0.19	397570.0869	5315706.8559	21.34	-0.2	1	2	0	1
397570.935	5315707.0856	9.6	-0.02	397570.7468	5315707.0346	15.04	-0.11	397570.52	5315706.9732	20.05	-0.09	1	2	0	1
397571.3676	5315707.2315	9.71	-0.02	397571.1817	5315707.173	14.47	-0.15	397570.9578	5315707.1026	19.35	-0.09	1	2	0	1
397572.0881	5315707.5194	8.98	-0.05	397571.9046	5315707.4534	14.57	-0.15	397571.6834	5315707.3739	18.84	-0.15	1	2	0	1
397572.8079	5315707.7935	8.44	-0.02	397572.6258	5315707.7237	13.28	-0.11	397572.4065	5315707.6396	17.74	-0.09	1	2	0	1
397573.2993	5315708.0089	8.12	-0.02	397573.1187	5315707.9353	12.91	-0.12	397572.9011	5315707.8467	17.25	-0.08	1	2	0	1
397573.792	5315708.2096	4.04	-0.08	397573.6114	5315708.1361	11.65	-0.19	397573.3938	5315708.0474	16.16	-0.16	1	2	0	1
397574.2861	5315708.3894	7.15	-0.01	397574.1035	5315708.3212	11.23	-0.07	397573.8834	5315708.2391	15.45	-0.07	1	2	0	1
397574.9491	5315708.5931	7.16	-0.01	397574.7645	5315708.5304	11.32	-0.1	397574.542	5315708.4548	15.59	-0.09	1	2	0	1
397575.6105	5315708.7847	6.63	-0.03	397575.4233	5315708.7307	11.44	-0.14	397575.1978	5315708.6657	15.8	-0.13	1	2	0	1
397576.088	5315708.8652	7.59	-0.01	397575.8983	5315708.82	11.24	-0.11	397575.6697	5315708.7656	15.48	-0.05	1	2	0	1
397576.5657	5315708.9789	6.06	-0.01	397576.376	5315708.9337	10.19	-0.08	397576.1474	5315708.8793	14.55	-0.07	1	2	0	1
397577.0436	5315709.1248	6.84	-0.02	397576.8563	5315709.0711	11.11	-0.12	397576.6306	5315709.0064	15.59	-0.07	1	2	0	1
397577.7654	5315709.3995	8.6	-0.02	397577.5806	5315709.3374	12.34	-0.13	397577.3578	5315709.2625	16.66	-0.09	1	2	0	1
397578.4869	5315709.645	6.4	-0.03	397578.3023	5315709.5821	11.46	-0.13	397578.0798	5315709.5063	15.79	-0.11	1	2	0	1
